X,Y,OBJECTID,NAME,Lat,Long,EastITM,NorthITM,EastIG,NorthIG
-9.12784045410781,53.2505527885126,1,Silverstrand,53.251,-9.128,524694.732,722864.026,124727.719,222834.31
-9.09065964919738,53.2568235135538,2,Salthill,53.257,-9.091,527186.209,723523.15,127219.731,223493.59
-9.06407219689249,53.2627692106013,3,Grattan Beach,53.263,-9.065,528969.809,724157.88,129003.714,224128.467
-9.01699611437866,53.2693229499366,4,Ballyloughane,53.27,-9.018,532120.388,724841.274,132154.971,224812.027
