X,Y,OBJECTID,TCOURTLOCN,Lat,Long,EastITM,NorthITM,EastIG,NorthIG
130175.9332,227540.743100001,1,"Crestwood, Ballinfoyle",53.293817,-9.04786,530141.785686334,727569.417144292,130175.933245421,227540.743062794
125838.7169,224173.740800001,2,"McGrath's field, Shangort Rd.",53.262981,-9.112105,525805.494419608,724203.163199675,125838.716856807,224173.740843521
128127.6656,225585.6775,3,Westside Sports Ground,53.27598,-9.078129,528093.953804655,725614.783135274,128127.66558704,225585.677501794
134402.5373,226446.1316,4,"Doughiska Park, Doughiska Rd.",53.284523,-8.98426,534367.473918415,726475.015258299,134402.537318647,226446.131587416
135380.7222,225407.589,5,"Roscam Park, Roscam",53.275313,-8.969385,535345.444166142,725436.689697443,135380.722214208,225407.589036024
